# magnitude, lg_Phi_z_0.68_1.06, lg_Phi_z_1.06_1.44, lg_Phi_z_1.44_1.82, lg_Phi_z_1.82_2.20, lg_Phi_z_2.20_2.60, lg_Phi_z_2.60_3.00, lg_Phi_z_3.00_3.50, lg_Phi_z_3.50_4.00
-28.80   nan   nan   nan   nan   nan   nan   nan -8.34
-28.40   nan   nan   nan   nan -7.98 -7.42 -7.89 -8.35
-28.00   nan   nan   nan -7.63 -7.49 -7.10 -7.33 -8.36
-27.60   nan   nan -7.32 -6.91 -6.88 -6.99 -7.33   nan
-27.20   nan -8.20 -6.76 -6.63 -6.67 -6.80 -7.26 -7.49
-26.80   nan -7.15 -6.51 -6.33 -6.39 -6.57 -6.75 -7.17
-26.40 -8.13 -6.59 -6.25 -6.17 -6.18 -6.32 -6.55 -6.71
-26.00 -6.94 -6.39 -6.10 -5.99 -6.15 -6.16 -6.37   nan
-25.60 -6.53 -6.15 -5.92 -5.77 -5.96 -6.05 -6.19   nan
-25.20 -6.32 -5.97 -5.68 -5.73 -5.79 -5.93 -6.23   nan
-24.80 -6.09 -5.78 -5.59 -5.60 -5.66 -5.88 -6.10   nan
-24.40 -5.81 -5.59 -5.52 -5.50 -5.67 -5.81   nan   nan
-24.00 -5.76 -5.50 -5.42 -5.41 -5.62   nan   nan   nan
-23.60 -5.51 -5.42 -5.36 -5.49   nan   nan   nan   nan
-23.20 -5.45 -5.34 -5.30   nan   nan   nan   nan   nan
-22.80 -5.39 -5.35   nan   nan   nan   nan   nan   nan
-22.40 -5.45   nan   nan   nan   nan   nan   nan   nan
-22.00 -5.46   nan   nan   nan   nan   nan   nan   nan
-21.60   nan   nan   nan   nan   nan   nan   nan   nan
-21.20   nan   nan   nan   nan   nan   nan   nan   nan
-20.80   nan   nan   nan   nan   nan   nan   nan   nan
