# magnitude, Phi_z_0.68_1.06, d_Phi_z_0.68_1.06, Phi_z_1.06_1.44, d_Phi_z_1.06_1.44, Phi_z_1.44_1.82, d_Phi_z_1.44_1.82, Phi_z_1.82_2.20, d_Phi_z_1.82_2.20, Phi_z_2.20_2.60, d_Phi_z_2.20_2.60, Phi_z_2.60_3.00, d_Phi_z_2.60_3.00, Phi_z_3.00_3.50, d_Phi_z_3.00_3.50, Phi_z_3.50_4.00, d_Phi_z_3.50_4.00
-28.80   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan -8.34  0.44
-28.40   nan   nan   nan   nan   nan   nan   nan   nan -7.98  0.31 -7.42  0.17 -7.89  0.26 -8.35  0.44
-28.00   nan   nan   nan   nan   nan   nan -7.63  0.22 -7.49  0.18 -7.10  0.12 -7.33  0.14 -8.36  0.44
-27.60   nan   nan   nan   nan -7.32  0.16 -6.91  0.11 -6.88  0.10 -6.99  0.11 -7.33  0.14   nan   nan
-27.20   nan   nan -8.20  0.44 -6.76  0.09 -6.63  0.08 -6.67  0.08 -6.80  0.09 -7.26  0.13 -7.49  0.17
-26.80   nan   nan -7.15  0.14 -6.51  0.08 -6.33  0.07 -6.39  0.07 -6.57  0.08 -6.75  0.08 -7.17  0.13
-26.40 -8.13  0.44 -6.59  0.08 -6.25  0.07 -6.17  0.06 -6.18  0.06 -6.32  0.07 -6.55  0.07 -6.71  0.10
-26.00 -6.94  0.12 -6.39  0.07 -6.10  0.06 -5.99  0.06 -6.15  0.06 -6.16  0.06 -6.37  0.07   nan   nan
-25.60 -6.53  0.09 -6.15  0.06 -5.92  0.06 -5.77  0.05 -5.96  0.06 -6.05  0.06 -6.19  0.06   nan   nan
-25.20 -6.32  0.08 -5.97  0.06 -5.68  0.05 -5.73  0.05 -5.79  0.06 -5.93  0.06 -6.23  0.07   nan   nan
-24.80 -6.09  0.07 -5.78  0.06 -5.59  0.05 -5.60  0.05 -5.66  0.05 -5.88  0.06 -6.10  0.08   nan   nan
-24.40 -5.81  0.06 -5.59  0.05 -5.52  0.05 -5.50  0.05 -5.67  0.05 -5.81  0.06   nan   nan   nan   nan
-24.00 -5.76  0.06 -5.50  0.05 -5.42  0.05 -5.41  0.05 -5.62  0.06   nan   nan   nan   nan   nan   nan
-23.60 -5.51  0.05 -5.42  0.05 -5.36  0.05 -5.49  0.06   nan   nan   nan   nan   nan   nan   nan   nan
-23.20 -5.45  0.05 -5.34  0.05 -5.30  0.05   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan
-22.80 -5.39  0.05 -5.35  0.05   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan
-22.40 -5.45  0.06   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan
-22.00 -5.46  0.06   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan
-21.60   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan
-21.20   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan
-20.80   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan   nan
